Error_v1,Error_v2
8.2059233439,1.955688116
8.1944667688,1.9549917471
8.1809804723,1.9543031138
8.1671436711,1.9536188016
8.1538230604,1.952929835
8.1396783869,1.9522594246
8.1269607566,1.9516155363
8.1169766402,1.950959884
8.103900214,1.9503004102
8.0966970076,1.9495835033
8.0832482079,1.9488637365
8.0707431534,1.9481513306
8.0575856369,1.9474591342
8.0481780021,1.9467586377
8.0432782477,1.9459909285
8.0309124287,1.9452569835
8.0190478705,1.9445396959
8.0053061628,1.9438448216
7.9977501536,1.9430914061
7.9855827313,1.9423523711
7.9717940074,1.941625295
7.9578539791,1.9409279024
7.9537055273,1.9401882484
7.9446497193,1.9394084474
7.9331479303,1.9386251814
7.9224362451,1.937817021
7.9093039309,1.9370251143
7.8955450023,1.9362552352
7.88547344,1.9354508518
7.8741059747,1.9346300184
7.8610785067,1.9338164406
7.8476308509,1.9330795353
7.8353865946,1.9323704637
7.8292112785,1.9316094987
7.817955707,1.9308701959
7.8051543563,1.9301251803
7.7921390072,1.9293972529
7.7810325819,1.9286752318
7.7694661629,1.9279563099
7.7688136347,1.9271305271
7.7623574966,1.9262442157
7.7488121298,1.9253718601
7.739855007,1.9244667556
7.7275908606,1.9235509292
7.7148074517,1.9226734177
7.7027386214,1.9217895441
7.6922938826,1.9208761728
7.6804920094,1.9199530646
7.668099554,1.9190631749
7.6551793995,1.9181920869
7.6416174552,1.9173623452
7.6292804811,1.9165286822
7.6240605705,1.9156250483
7.610427818,1.9147320771
7.6044130928,1.9138090843
7.591644572,1.9129005964
7.5824097654,1.9120147153
7.5698676964,1.9111429551
7.5653324569,1.9101930191
7.5550823654,1.9092263698
7.5430959752,1.9082467926
7.5307049198,1.9072890343
7.5187429032,1.906329894
7.5054212535,1.9053757732
7.4955709157,1.9043919441
7.4826639675,1.9034072547
7.4721857303,1.9024033693
7.4640837903,1.9013619889
7.4530188536,1.90031233
7.4429500652,1.8992371496
7.4305537957,1.8981545816
7.4180636783,1.8970623826
7.405900259,1.8959987564
7.3944394578,1.8949359132
7.3846968173,1.8938532356
7.3730946661,1.8927583475
7.3633542269,1.8916429968
7.3499118398,1.8905329175
7.3479745058,1.8893289477
7.3435632032,1.8880611252
7.3301436708,1.8868076279
7.3185256966,1.8855698882
7.3085960453,1.8843182995
7.2956460241,1.8830935078
7.284696099,1.8818467646
7.2739825186,1.8805951639
7.2606133012,1.8793834726
7.2499116466,1.8781635951
7.2372210633,1.8769844052
7.2308195261,1.8757623294
7.2212742385,1.8745206564
7.2080394318,1.8732800699
7.2008577483,1.8719836188
7.1886816986,1.8706949759
7.1800165003,1.8693856975
7.1723608121,1.8680612062
7.1635280151,1.8667297467
7.1522146306,1.8653909797
7.1394393156,1.864072637
7.1281982821,1.8627403843
7.1259723409,1.8613464827
7.1150527425,1.8599344421
7.1042501998,1.8585219708
7.0916257519,1.8571833412
7.0831610164,1.8558124662
7.0732162185,1.8544406077
7.0617944147,1.853061147
7.0498801529,1.8516870587
7.0377832664,1.8503184491
7.0275095099,1.8489374611
7.0162442358,1.8475943048
7.0081290461,1.846224576
6.9957498023,1.8449029442
6.9831929469,1.8435916414
6.9754554389,1.8422420849
6.9638868964,1.8408946255
6.9528455903,1.8395430132
6.9486196231,1.8381088369
6.9373649264,1.8366749257
6.9308952331,1.8351833297
6.9220396956,1.8336959168
6.9093370511,1.8322250541
6.8994508925,1.8307268807
6.8879265839,1.829232597
6.8776410393,1.8277259868
6.8677491958,1.8261904497
6.856209997,1.8246496485
6.8464948994,1.8231084413
6.8347219104,1.821591688
